,tagline
3613,When man's best friend becomes his fiercest enemy...
3614,One of them is lying. So is the other.
3615,A Royal Kick In The Arse.
3616,A Guardian Devil
3617,Love is a puzzle. These are the pieces.
3618,Every love story has two sides
3619,He's armed... He's adorable... And he's out of school for the entire summer.
3620,"From the moment he first saw the stallion, he knew it would either destroy him, or carry him where no one had ever been before…"
3621,Love is color blind.
3622,"When the questions are dangerous, the answers can be deadly."
3623,She's hoping he's ready. He's wishing she's willing.
3624,Footloose bachelor...beautiful career girl...and the world's most fascinating pastime!
3625,You have to believe it to see it
3626,"1992, L.A is at boiling point. One cop's turning up the heat"
3627,The nations heart was touched by...
3628,The crime is clear. The truth is not.
3629,"All the fun of college, none of the education."
3630,The only thing worse than losing your mind... is finding it again.
3631,Get meteorized.  Take a stand.
3632,"Everything he needed to know about life, she learned in prison."
3633,He was trained to follow orders. He became a hero by defying them.
3634,Time destroys everything.
3635,Somewhere between Hollywood and the rest of the world.
3636,One family's tale of a homeland lost... and a homeland found.
3637,"Sometimes, to follow your dreams... you've got to bend the rules!"
3638,Some men should not be found.
3639,The ultimate speed freak's tale.
3640,"Of good and evil, of love and hate, of peace and war."
3641,You'll Love Loving You
3642,"Screen comedy so gay... drama so thrilling... love so exciting, it will be the talk of YOUR town!"
3643,You can never go fast enough...
3644,From The Pages Of The Beloved Best Seller... A Motion Picture To Delight All The World!
3645,Never underestimate the power of an underestimated woman.
3646,I am yours and you are mine
3647,Their Love Made Such Wonderful Music!
3648,"The story of two people who got married, met and then fell in love."
3649,A fabulous world below the world
3650,"One curse, one cure, one week to find it"
3651,Love is what it's all about!
3652,The relationship between four sensual people is limited: They must find a new way.
3653,"... once you're on, you'll want to get off..."
3654,A circle of friendship. A web of mystery. A pattern of fear.
3655,Prepare for her arrival.
3656,Danger! Wild woman on the loose!
3657,The first motion picture in CinemaScope--the modern miracle you see without glasses!
3658,The only thing better than winning the America's Cup is losing it... and winning it back.
3659,Deception is their most deadly weapon.
3660,Earth has a deadline.
3661,Trying to fit in. Born to stand out.
3662,A movie for people who love movies.
3663,The Bogart suspense picture with the surprise finish -
3664,Romance! Adventure!...as wild as the RAGING SEAS!
3665,He doesn't want money. He wants what money can't buy.
3666,No options. No lies. No fear. No deals. Just keep talking.
3667,Feel the Love.
3668,You'll never get out alive.
3669,A power beyond measure requires a protector without equal.
3670,Three women. Three cities. Three times the trouble.
3671,"Back together for the first time, again."
3672,Some secrets are too big to keep hidden.
3673,"No good, no bad, no justice."
3674,New thrills! New shocks! New terror!
3675,The picture runs 130 minutes!... The story covers 96 of the most critical hours in man's history!... The suspense will last through your lifetime!
3676,Aflame with the excitement and emotions of tomorrow!
3677,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.
3678,Intelligence runs in the family.
3679,Her dream was to coach high school football. Her nightmare was Central High.
3680,From the book that's an American tradition… from the smash-hit Broadway show… the entertainment of the year!
3681,"Every man has a weakness. For millionaire Charley Pearl she's blonde, beautiful and loves to say ""I do""."
3682,It's not about the money. It's about the money.
3683,The secret lies within.
3684,Everyone wants the last word.
3685,The only risk in taking an adventure is not taking it at all.
3686,The time has come for those who are different to stand united.
3687,"An honest man caught in a world of intrigue, power and passion."
3688,To some it's a game. To others it's a habit. But to Dan Mahowny -- beating the odds is everything
3689,Who's your daddy?
3690,A poet. A thief. Two strangers with nothing in common are about to trade their lives for a chance to cheat their destinies.
3691,Seduction Is An Art
3692,They're Back... For Everyone Who Believes In the Beat.
3693,The beat of the streets is...
3694,Haunting and brilliant!
3695,"Join ""Les Girls"" And See A World Of Entertainment !"
3696,The Wildest Gunfight in the History of the West !
3697,They're all together for the first time!
3698,"The Greatest of All Great MGM MUsicals... Bigger, Better Blushin-er than the famed Broadway Smash Hit"
3699,Free your mind.
3700,The ultimate catch has met his match
3701,Reel obsession
3702,Meet the Real Gay Mafia!
3703,"They came from Paris, Rome, London and Berlin to... the Spanish Apartment... where a year can change a lifetime."
3704,In Bruce we trust
3705,There are 3.7 trillion fish in the ocean. They're looking for one.
3706,Get in. Get out. Get even.
3707,It's the last one you'll ever take.
3708,Who do you believe?
3709,How Fast Do You Want It?
3710,Some called him savage- and some called him saint... some felt his hate- and one found his love... and three had to die...
3711,They only stop to reload
3712,BIG BOUNCY BEAUTIFUL!
3713,All hell is about to break loose.
3714,A Very Funny Picture by Federico Fellini
3715,"PIRATE'S PLUNDER a young cabin boy, a roguish buccaneer... match wits in a swashbuckling adventure!"
3716,"Hey, it's a '70s thing!"
3717,They make the fighting sinful west blaze into action before your eyes!
3718,Vive La Coolest Cat Who Ever Captured The Happy Heart Of Paris!
3719,They made the toughest among them... King!
3720,Divided by time and tradition. United by love and hope. The story of an unforgettable family.
3721,Dreams do come true...sometimes.
3722,"In crime and comedy, timing is everything."
3723,They're lifting the game to a higher level
3724,RENEE...the innocent...and the untamed...BEN...the gambler...and the loser...GANNON...the law...and the noose...RUBE...the friendless...and the afraid.
3725,"The Railway, the Children . . . and the wonderful secret they'll share with you !"
3726,CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!
3727,The Gun That Won The West!
3728,The men who fought. The women who waited. And the stolen moments they shared.
3729,Every boy needs a mother...even if Dad has to marry her!
3730,A true story based on the award-winning book by Tobias Wolff.
3731,There's only one thing stranger than what's going on inside his head. What's going on outside.
3732,"A sexy, lusty uninhibited comedy."
3733,Big Jake the Adventurer... Paul Regret the Gambler... Pilar the Gypsy beauty... Three With a Past... Destined to Cross and Clash... In a Kingdom of Killers!
3734,"Theirs was the triumph - yours, the excitement!"
3735,You can't buy respectability by putting a wedding ring on it!
3736,They were alone on this Pacific Island... trapped behind enemy lines... the marine who had been thru Hell and Sister Angela with her supreme faith in God.
3737,The red-hot lowdown on a southern family...that people talked about in whispers!
3738,As a lawyer all she wanted was the truth. As a daughter all she wanted was his innocence. How well do you really know your father?
3739,There was no quiet on the Western Front!
3740,A NEW TRIUMPH FROM ACADEMY AWARD WINNER JOHN HUSTON
3741,A comedy with everything on it.
3742,"Sex, drugs and punk rock. Add violence and time travel and you have Jubilee."
3743,"In a dangerous world of mystery and intrigue, she's going undercover searching for the truth."
3744,THE LEGEND - John Wayne is 'Chisum'
3745,"Dr. Lauren Slaughter, professor, emissary, hooker, target."
3746,Here is greatness . . . wonder . . . and majesty . . . no human words can describe!
3747,Julie as you love her... in the happiest motion picture hit of the year!
3748,The evolution of dumb...
3749,Is it love... or are they just imagining things?
3750,His fear began when he woke up alone. His terror began when he realised he wasn't.
3751,This summer the Angels are back.
3752,Heartbreak...!
3753,From the sensational Broadway stage success that had audiences crying its acclaim!
3754,The only thing they can count on is each other.
3755,A Glove Story
3756,It takes a girl to supply the answer!
3757,Mad As In Angry. Or Just Plain... NUTS
3758,"The Company that made ""Quo Vadis"" brings the world another spectacular romantic triumph!"
3759,Gene Wilder... wilder than ever!
3760,No one does it to you like Roman Polanski.
3761,"When murder is the motive, seduction is the last defense."
3762,A screwball comedy. Remember them?
3763,Unleash the hero within
3764,Bigger. Bolder. Blonder.
3765,The Machines Will Rise.
3766,"On the surface, all is calm"
3767,Prepare to be blown out of the water.
3768,The power of seven become a league of one.
3769,"If you can't stand the heat, get out of Miami."
